Tarih,Kategori,Ürün,BirimFiyat,Adet,Kanal,Şehir,Tutar
2025-03-13,Yemek,Burger,154.34,1,Online,İstanbul,154.34
2025-05-29,İçecek,Limonata,29.87,3,Mağaza,Antalya,89.61
2025-03-03,Atıştırmalık,Muffin,35.86,6,Mağaza,İstanbul,215.16
2024-12-15,İçecek,Limonata,29.88,2,Mağaza,Antalya,59.76
2025-03-17,Atıştırmalık,Tost,52.73,4,Mağaza,İzmir,210.92
2025-02-10,Yemek,Makarna,122.09,2,Mağaza,İstanbul,244.18
2025-06-07,Yemek,Salata,103.95,3,Mağaza,Ankara,311.85
2024-12-21,Tatlı,Cheesecake,97.75,1,Mağaza,İstanbul,97.75
2025-03-13,Atıştırmalık,Muffin,33.29,5,Online,İstanbul,166.45
2025-04-01,Atıştırmalık,Kurabiye,31.82,1,Online,İstanbul,31.82
2025-06-29,Tatlı,Dondurma,51.95,3,Online,İstanbul,155.85
2025-07-03,Tatlı,Dondurma,52.07,4,Online,İzmir,208.28
2025-02-13,Atıştırmalık,Sandviç,65.91,2,Online,İzmir,131.82
2025-06-21,Tatlı,Cheesecake,106.3,1,Mağaza,İstanbul,106.3
2025-02-26,Yemek,Pizza,187.64,1,Mağaza,Bursa,187.64
2025-03-27,İçecek,Limonata,37.84,3,Mağaza,Antalya,113.52
2025-03-10,Yemek,Salata,107.1,2,Online,İstanbul,214.2
2025-03-14,Tatlı,Dondurma,66.01,5,Mağaza,İstanbul,330.05
2025-05-01,Atıştırmalık,Tost,51.15,5,Mağaza,İstanbul,255.75
2025-04-10,Atıştırmalık,Kurabiye,27.42,4,Online,Ankara,109.68
2025-04-29,Yemek,Burger,144.88,1,Mağaza,İstanbul,144.88
2025-01-22,Atıştırmalık,Tost,57.75,6,Online,İstanbul,346.5
2024-12-02,Tatlı,Tiramisu,125.98,2,Online,İzmir,251.96
2025-02-26,Yemek,Salata,103.09,4,Mağaza,Ankara,412.36
2025-07-24,Atıştırmalık,Sandviç,80.47,6,Mağaza,İstanbul,482.82
2025-05-07,İçecek,Kahve,46.67,3,Online,Bursa,140.01
2025-01-07,İçecek,Soğuk Kahve,55.97,3,Mağaza,İzmir,167.91
2025-04-09,Tatlı,Tiramisu,95.46,3,Online,İstanbul,286.38
2025-06-10,Atıştırmalık,Tost,55.92,3,Online,İzmir,167.76
2025-06-06,Tatlı,Cheesecake,107.1,4,Mağaza,İstanbul,428.4
2024-12-21,Yemek,Burger,133.88,3,Mağaza,Ankara,401.64
2025-05-10,İçecek,Limonata,36.7,2,Mağaza,İstanbul,73.4
2025-06-22,Yemek,Salata,137.98,1,Mağaza,İstanbul,137.98
2025-01-27,Atıştırmalık,Sandviç,65.02,6,Mağaza,İstanbul,390.12
2024-12-22,Tatlı,Cheesecake,97.17,2,Online,İstanbul,194.34
2025-07-24,Tatlı,Tiramisu,116.48,1,Mağaza,Ankara,116.48
2025-02-27,Tatlı,Tiramisu,98.93,3,Online,İzmir,296.79
2025-01-18,Yemek,Burger,125.24,6,Mağaza,İstanbul,751.44
2025-07-07,İçecek,Soğuk Kahve,54.28,3,Mağaza,İstanbul,162.84
2025-01-28,Yemek,Salata,115.89,5,Mağaza,İzmir,579.45
2025-05-19,Yemek,Burger,149.0,4,Online,İstanbul,596.0
2025-07-08,Atıştırmalık,Tost,52.25,1,Mağaza,İstanbul,52.25
2025-06-06,Atıştırmalık,Sandviç,79.92,1,Mağaza,Ankara,79.92
2025-06-26,Atıştırmalık,Muffin,32.46,5,Online,İzmir,162.3
2024-12-15,İçecek,Limonata,36.06,1,Mağaza,İzmir,36.06
2025-06-08,İçecek,Çay,20.38,3,Mağaza,İzmir,61.14
2025-06-08,Atıştırmalık,Kurabiye,26.71,3,Mağaza,İstanbul,80.13
2025-05-24,Atıştırmalık,Kurabiye,26.86,2,Online,İzmir,53.72
2025-06-08,İçecek,Çay,21.76,1,Mağaza,İstanbul,21.76
2025-01-20,Tatlı,Dondurma,66.98,2,Mağaza,İstanbul,133.96
2025-03-18,İçecek,Soğuk Kahve,51.42,1,Mağaza,Ankara,51.42
2025-01-24,İçecek,Soğuk Kahve,53.98,1,Online,İzmir,53.98
2025-08-01,İçecek,Soğuk Kahve,52.61,1,Mağaza,İstanbul,52.61
2025-02-02,Atıştırmalık,Sandviç,61.02,1,Mağaza,İstanbul,61.02
2025-04-10,Tatlı,Tiramisu,115.72,1,Mağaza,İzmir,115.72
2025-07-17,İçecek,Çay,21.95,1,Mağaza,Bursa,21.95
2025-01-20,Atıştırmalık,Muffin,35.78,5,Online,Ankara,178.9
2025-04-14,Yemek,Salata,137.65,5,Mağaza,İstanbul,688.25
2024-12-21,Yemek,Burger,122.19,3,Online,İzmir,366.57
2025-02-11,İçecek,Kahve,47.18,2,Online,İzmir,94.36
2025-05-16,Yemek,Makarna,127.98,5,Online,Ankara,639.9
2024-12-18,Tatlı,Dondurma,59.04,1,Mağaza,İstanbul,59.04
2025-04-11,Yemek,Pizza,177.71,5,Online,İstanbul,888.55
2025-02-27,Yemek,Makarna,120.59,1,Mağaza,İstanbul,120.59
2025-01-29,Tatlı,Tiramisu,117.11,2,Online,İstanbul,234.22
2024-12-14,İçecek,Soğuk Kahve,58.66,2,Mağaza,İstanbul,117.32
2025-07-30,İçecek,Çay,18.69,3,Online,Ankara,56.07
2024-12-09,Tatlı,Cheesecake,104.56,4,Mağaza,İstanbul,418.24
2025-02-28,Tatlı,Tiramisu,103.96,1,Online,İzmir,103.96
2025-01-22,Tatlı,Tiramisu,117.43,5,Online,İstanbul,587.15
2025-04-09,Yemek,Salata,106.36,5,Online,Ankara,531.8
2025-02-22,Tatlı,Tiramisu,99.07,1,Online,İzmir,99.07
2025-03-02,Atıştırmalık,Muffin,35.9,2,Mağaza,Ankara,71.8
2025-03-21,Yemek,Pizza,185.07,1,Mağaza,İstanbul,185.07
2025-06-06,İçecek,Soğuk Kahve,57.4,2,Online,Ankara,114.8
2025-06-17,İçecek,Kahve,43.6,2,Mağaza,İzmir,87.2
2025-05-21,İçecek,Soğuk Kahve,48.03,1,Mağaza,Antalya,48.03
2024-12-08,Yemek,Makarna,125.07,1,Mağaza,Ankara,125.07
2025-05-24,Atıştırmalık,Kurabiye,31.7,3,Mağaza,İzmir,95.1
2025-01-04,Tatlı,Tiramisu,115.64,5,Mağaza,İstanbul,578.2
2025-06-24,Tatlı,Dondurma,53.88,2,Mağaza,Bursa,107.76
2025-02-19,İçecek,Limonata,29.83,1,Mağaza,Antalya,29.83
2025-05-13,İçecek,Limonata,37.66,1,Mağaza,Ankara,37.66
2025-01-19,Yemek,Pizza,158.74,3,Mağaza,İzmir,476.22
2025-03-14,Atıştırmalık,Kurabiye,26.24,2,Mağaza,Ankara,52.48
2025-04-11,Tatlı,Cheesecake,80.83,5,Mağaza,İstanbul,404.15
2024-12-02,Yemek,Pizza,176.36,4,Mağaza,Bursa,705.44
2025-04-13,Tatlı,Cheesecake,95.09,5,Online,Ankara,475.45
2025-01-23,İçecek,Limonata,36.45,3,Mağaza,Ankara,109.35
2025-03-16,Tatlı,Dondurma,56.33,4,Online,İzmir,225.32
2024-12-04,Atıştırmalık,Muffin,40.4,4,Online,Bursa,161.6
2025-01-23,Atıştırmalık,Sandviç,63.06,3,Mağaza,İzmir,189.18
2025-07-09,İçecek,Çay,21.99,2,Mağaza,İstanbul,43.98
2025-06-09,Atıştırmalık,Muffin,38.82,1,Mağaza,Ankara,38.82
2025-04-25,Atıştırmalık,Kurabiye,30.76,2,Mağaza,Antalya,61.52
2025-07-06,Yemek,Pizza,164.33,1,Mağaza,Ankara,164.33
2025-01-13,Tatlı,Dondurma,52.33,4,Mağaza,Antalya,209.32
2025-05-11,İçecek,Soğuk Kahve,54.42,1,Mağaza,İzmir,54.42
2025-06-20,İçecek,Kahve,46.56,3,Mağaza,İzmir,139.68
2025-06-08,İçecek,Çay,17.57,1,Online,İstanbul,17.57
2025-07-16,İçecek,Soğuk Kahve,62.43,1,Mağaza,İstanbul,62.43
2024-12-14,İçecek,Limonata,40.04,2,Online,Ankara,80.08
2025-03-05,Atıştırmalık,Kurabiye,30.41,2,Mağaza,İstanbul,60.82
2025-01-17,Yemek,Pizza,204.3,5,Mağaza,İzmir,1021.5
2024-12-15,İçecek,Çay,18.08,3,Mağaza,İzmir,54.24
2025-06-18,Yemek,Makarna,111.49,3,Online,İstanbul,334.47
2025-06-24,Yemek,Makarna,112.04,4,Mağaza,İzmir,448.16
2025-07-03,Atıştırmalık,Tost,61.58,3,Mağaza,Ankara,184.74
2025-06-08,İçecek,Çay,17.37,2,Online,İstanbul,34.74
2025-01-09,Atıştırmalık,Kurabiye,34.13,2,Mağaza,İstanbul,68.26
